,bias,sentiment,pos,PosScore,NegScore,Gloss,c2
97732,"[85, 36]","[43, 6, 3, 28, 41]",n,0.0,0.0,"a speech that is open to the public; ""he attended a lecture on telecommunications""",talk
108782,"[117, 205]","[179, 10, 37, 27, 69]",n,0.0,0.0,"women as a class; ""it's an insult to American womanhood""; ""woman is the glory of creation""; ""the fair sex gathered on the veranda""",woman
120343,"[117, 205]","[179, 10, 37, 27, 69]",n,0.0,0.0,"a human female employed to do housework; ""the char will clean the carpet""; ""I have a woman who comes in four hours a day while I write""",woman
36945,"[28, 27]","[24, 0, 8, 3, 20]",n,0.0,0.0,"the act of having on your person as a covering or adornment; ""she bought it for everyday wear""",wear
36946,"[28, 27]","[24, 0, 8, 3, 20]",n,0.0,0.0,"the act of having on your person as a covering or adornment; ""she bought it for everyday wear""",wear
59872,"[28, 27]","[24, 0, 8, 3, 20]",n,0.0,0.0,a covering designed to be worn on a person's body,wear
37702,"[0, 3]","[2, 0, 1, 0, 0]",n,0.0,0.0,creating fabric,weave
74170,"[0, 3]","[2, 0, 1, 0, 0]",n,0.0,0.0,pattern of weaving or structure of a fabric,weave
104652,"[27, 71]","[90, 1, 1, 3, 3]",n,0.0,0.0,"people who are sick; ""they devote their lives to caring for the sick""",sick
82037,"[1952, 2697]","[2784, 157, 349, 427, 932]",n,0.0,0.0,the blood group whose red cells carry the A antigen,a
93968,"[1952, 2697]","[2784, 157, 349, 427, 932]",n,0.0,0.0,the 1st letter of the Roman alphabet,a
112597,"[1952, 2697]","[2784, 157, 349, 427, 932]",n,0.0,0.0,a United States territory on the eastern part of the island of Samoa,a
37119,"[3, 110]","[100, 2, 2, 0, 9]",n,0.0,0.0,slang for sexual intercourse,as
52606,"[3, 110]","[100, 2, 2, 0, 9]",n,0.0,0.0,hardy and sure-footed animal smaller and with longer ears than the horse,as
83517,"[3, 110]","[100, 2, 2, 0, 9]",n,0.0,0.0,"the fleshy part of the human body that you sit on; ""he deserves a good kick in the butt""; ""are you going to sit on your fanny and do nothing?""",as
119306,"[3, 110]","[100, 2, 2, 0, 9]",n,0.25,0.25,a pompous fool,as
123375,"[6, 225]","[206, 3, 1, 2, 19]",n,0.0,0.125,a person of subnormal intelligence,idiot
30471,"[47, 59]","[75, 2, 2, 8, 19]",n,0.0,0.0,the option to sell a given stock (or stock index or commodity future) at a given price before a given date,put
34793,"[47, 59]","[75, 2, 2, 8, 19]",n,0.0,0.0,"hitting a golf ball that is on the green using a putter; ""his putting let him down today; he didn't sink a single putt over three feet""",put
60872,"[0, 3]","[3, 0, 0, 0, 0]",n,0.0,0.0,a short knife with a pointed blade used for piercing or stabbing,sticker
93557,"[0, 3]","[3, 0, 0, 0, 0]",n,0.0,0.5,a particularly difficult or baffling question or problem,sticker
98081,"[0, 3]","[3, 0, 0, 0, 0]",n,0.0,0.125,an adhesive label,sticker
88109,"[693, 1079]","[1119, 70, 146, 88, 349]",n,0.0,0.0,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information,it
79321,"[3707, 2416]","[3218, 210, 383, 732, 1580]",n,0.0,0.0,the size of a book whose pages are made by folding a sheet of paper twice to form four leaves,to
30107,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.0,the act of departing,go
30148,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.0,"advancing toward a goal; ""persuading him was easy going""; ""the proposal faces tough sledding""",go
34155,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.0,a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters,go
36578,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.0,"a usually brief attempt; ""he took a crack at it""; ""I gave it a whirl""",go
56060,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.0,street names for methylenedioxymethamphetamine,go
98605,"[1, 0]","[0, 0, 0, 0, 1]",n,0.0,0.25,"euphemistic expressions for death; ""thousands mourned his passing""",go
37117,"[6, 185]","[181, 0, 1, 1, 8]",n,0.0,0.0,slang for sexual intercourse,fuck
37118,"[6, 185]","[181, 0, 1, 1, 8]",n,0.0,0.0,slang for sexual intercourse,fuck
104593,"[163, 379]","[403, 29, 26, 17, 67]",n,0.0,0.0,"(plural) any group of human beings (men or women or children) collectively; ""old people""; ""there were at least 200 people in the audience""",people
104594,"[163, 379]","[403, 29, 26, 17, 67]",n,0.0,0.0,"the human beings of a particular nation or community or ethnic group; ""the indigenous peoples of Australia""",people
104812,"[163, 379]","[403, 29, 26, 17, 67]",n,0.0,0.0,"members of a family line; ""his people have been farmers for generations""; ""are your people still alive?""",people
106299,"[163, 379]","[403, 29, 26, 17, 67]",n,0.0,0.0,"the body of citizens of a state or country; ""the Spanish people""",people
106472,"[163, 379]","[403, 29, 26, 17, 67]",n,0.0,0.0,"the common people generally; ""separate the warriors from the mass""; ""power to the people""",people
86135,"[156, 438]","[412, 17, 33, 22, 110]",n,0.0,0.0,"a kind of person; ""We'll not see his like again""; ""I can't tolerate people of his ilk""",like
86142,"[156, 438]","[412, 17, 33, 22, 110]",n,0.125,0.0,"a similar kind; ""dogs, foxes, and the like"", ""we don't want the likes of you around here""",like
100182,"[156, 438]","[412, 17, 33, 22, 110]",n,0.5,0.25,"a feeling of pleasure and enjoyment; ""I've always had a liking for reading""; ""she developed a liking for gin""",like
92398,"[2, 1753]","[1446, 22, 57, 38, 192]",n,0.0,0.0,a protocol (utilizing TCP) to transfer hypertext requests and information between servers and browsers,http
82162,"[439, 2590]","[2400, 85, 138, 73, 333]",n,0.0,0.0,"hormone produced by the thyroid glands to regulate metabolism by controlling the rate of oxidation in cells; ""thyroxine is 65% iodine""",t
82164,"[439, 2590]","[2400, 85, 138, 73, 333]",n,0.0,0.0,thyroid hormone similar to thyroxine but with one less iodine atom per molecule and produced in smaller quantity; exerts the same biological effects as thyroxine but is more potent and briefer,t
93987,"[439, 2590]","[2400, 85, 138, 73, 333]",n,0.0,0.0,the 20th letter of the Roman alphabet,t
102476,"[22, 1756]","[1450, 23, 63, 42, 200]",n,0.0,0.0,lettuce with long dark-green leaves in a loosely packed elongated head,co
113191,"[22, 1756]","[1450, 23, 63, 42, 200]",n,0.0,0.0,a state in west central United States in the Rocky Mountains,co
120762,"[22, 1756]","[1450, 23, 63, 42, 200]",n,0.0,0.0,one who refuses to serve in the armed forces on grounds of conscience,co
78808,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,concentration measured by the number of moles of solute per liter of solution,m
89613,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,a form of address for a woman,m
90144,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,the form of a literary work submitted for publication,m
92759,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,a master's degree in science,m
93980,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,the 13th letter of the Roman alphabet,m
113489,"[226, 221]","[254, 18, 39, 24, 112]",n,0.0,0.0,a state in the Deep South on the gulf of Mexico; one of the Confederate States during the American Civil War,m
37460,"[181, 48]","[66, 3, 11, 33, 116]",n,0.0,0.0,the act of observing; taking a patient look,watch
37467,"[181, 48]","[66, 3, 11, 33, 116]",n,0.0,0.0,a purposeful surveillance to guard or observe,watch
38690,"[181, 48]","[66, 3, 11, 33, 116]",n,0.0,0.0,the rite of staying awake for devotional purposes (especially on the eve of a religious festival),watch
74037,"[181, 48]","[66, 3, 11, 33, 116]",n,0.0,0.0,a small portable timepiece,watch
124089,"[181, 48]","[66, 3, 11, 33, 116]",n,0.0,0.0,a person employed to keep watch for some anticipated event,watch
6888,"[1, 34]","[34, 0, 0, 1, 0]",a,0.0,0.0,"having the supreme power lying in the body of citizens entitled to vote for officers and representatives responsible to them or characteristic of such government; ""the United States shall guarantee to every state in this union a republican form of government""- United States Constitution; ""a very republican notion""; ""so little republican and so much aristocratic sentiment""- Philip Marsh; ""our republican and artistic simplicity""-Nathaniel Hawthorne",republican
26880,"[1, 34]","[34, 0, 0, 1, 0]",a,0.0,0.0,"relating to or belonging to the Republican Party; ""a Republican senator""; ""Republican party politics""",republican
115909,"[3, 27]","[24, 0, 3, 1, 2]",n,0.0,0.0,a tributary of the Kansas River that flows from eastern Colorado eastward through Nebraska and Kansas,republican
99703,"[33, 59]","[59, 2, 3, 12, 16]",n,0.0,0.0,"an occasion on which people can assemble for social interaction and entertainment; ""he planned a party to celebrate Bastille Day""",party
107098,"[33, 59]","[59, 2, 3, 12, 16]",n,0.0,0.0,"a group of people gathered together for pleasure; ""she joined the party after dinner""",party
107139,"[33, 59]","[59, 2, 3, 12, 16]",n,0.0,0.0,"an organization to gain political power; ""in 1992 Perot tried to organize a third party at the national level""",party
107191,"[33, 59]","[59, 2, 3, 12, 16]",n,0.0,0.0,"a band of people associated temporarily in some activity; ""they organized a party to search for food""; ""the company of cooks walked into the kitchen""",party
40340,"[1, 0]","[0, 0, 1, 0, 0]",n,0.0,0.0,an act performed to strengthen approved behavior,reward
79754,"[1, 0]","[0, 0, 1, 0, 0]",n,0.0,0.0,"benefit resulting from some event or action; ""it turned out to my advantage""; ""reaping the rewards of generosity""",reward
97059,"[1, 0]","[0, 0, 1, 0, 0]",n,0.0,0.0,the offer of money for helping to find a criminal or for returning lost property,reward
98268,"[1, 0]","[0, 0, 1, 0, 0]",n,0.625,0.0,"a recompense for worthy acts or retribution for wrongdoing; ""the wages of sin is death""; ""virtue is its own reward""",reward
87115,"[2, 36]","[32, 0, 1, 2, 3]",n,0.0,0.0,the doctrine that the numerical majority of an organized group can make decisions binding on the whole group,democracy
88665,"[2, 36]","[32, 0, 1, 2, 3]",n,0.0,0.0,the political orientation of those who favor government by the people or by their elected representatives,democracy
107933,"[2, 36]","[32, 0, 1, 2, 3]",n,0.0,0.0,a political system in which the supreme power lies in a body of citizens who can elect people to represent them,democracy
121677,"[0, 8]","[7, 0, 0, 0, 1]",n,0.0,0.375,a stupid person; these words are used to express a low opinion of someone's intelligence,dumbass
52506,"[0, 2]","[2, 0, 0, 0, 0]",n,0.0,0.375,an unbroken or imperfectly broken mustang,bronco
62382,"[64, 49]","[76, 5, 3, 3, 26]",n,0.0,0.0,a device for creating a current of air by movement of a surface or surfaces,fan
122044,"[64, 49]","[76, 5, 3, 3, 26]",n,0.0,0.0,an ardent follower and admirer,fan
92564,"[0, 16]","[15, 0, 0, 0, 1]",n,0.0,0.0,a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury,swear
96677,"[0, 16]","[15, 0, 0, 0, 1]",n,0.0,0.375,"profane or obscene expression usually of surprise or anger; ""expletives were deleted""",swear
31253,"[2, 0]","[0, 0, 0, 2, 0]",n,0.375,0.0,(statistics) the selection of a suitable sample for study,sample
38474,"[2, 0]","[0, 0, 0, 2, 0]",n,0.0,0.0,measurement at regular intervals of the amplitude of a varying waveform (in order to convert it to digital form),sample
85941,"[2, 0]","[0, 0, 0, 2, 0]",n,0.0,0.0,a small part of something intended as representative of the whole,sample
87542,"[2, 0]","[0, 0, 0, 2, 0]",n,0.0,0.0,items selected at random from a population and used to test hypotheses about the population,sample
87544,"[2, 0]","[0, 0, 0, 2, 0]",n,0.0,0.0,items selected at random from a population and used to test hypotheses about the population,sample
116012,"[2, 0]","[0, 0, 0, 2, 0]",n,0.0,0.0,all or part of a natural object that is collected and preserved as an example of its class,sample
65007,"[2, 3]","[5, 0, 0, 0, 0]",n,0.0,0.0,holding device consisting of one or both of the opposing parts of a tool that close to hold an object,jaw
83343,"[2, 3]","[5, 0, 0, 0, 0]",n,0.0,0.0,the part of the skull of a vertebrate that frames the mouth and holds the teeth,jaw
83939,"[2, 3]","[5, 0, 0, 0, 0]",n,0.0,0.0,the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth,jaw
30774,"[24, 12]","[25, 0, 3, 0, 8]",n,0.0,0.0,"the act of pulling; applying force to move something toward or with you; ""the pull up the hill had him breathing harder""; ""his strenuous pulling strained his back""",pull
30775,"[24, 12]","[25, 0, 3, 0, 8]",n,0.0,0.0,"the act of pulling; applying force to move something toward or with you; ""the pull up the hill had him breathing harder""; ""his strenuous pulling strained his back""",pull
35230,"[24, 12]","[25, 0, 3, 0, 8]",n,0.0,0.375,"a sustained effort; ""it was a long pull but we made it""",pull
37012,"[24, 12]","[25, 0, 3, 0, 8]",n,0.0,0.0,"a slow inhalation (as of tobacco smoke); ""he took a puff on his pipe""; ""he took a drag on his cigarette and expelled the smoke slowly""",pull
69096,"[24, 12]","[25, 0, 3, 0, 8]",n,0.0,0.0,"a device used for pulling something; ""he grabbed the pull and opened the drawer""",pull
79877,"[24, 12]","[25, 0, 3, 0, 8]",n,0.125,0.0,"special advantage or influence; ""the chairman's nephew has a lot of pull""",pull
68430,"[0, 2]","[2, 0, 0, 0, 0]",n,0.0,0.0,a firearm that is held and fired with one hand,pistol
37435,"[125, 126]","[127, 12, 20, 36, 56]",n,0.125,0.0,"the act of directing the eyes toward something and perceiving it visually; ""he went out to have a look""; ""his look was fixed on her eyes""; ""he gave it a good looking at""; ""his camera does his looking for him""",look
37436,"[125, 126]","[127, 12, 20, 36, 56]",n,0.125,0.0,"the act of directing the eyes toward something and perceiving it visually; ""he went out to have a look""; ""his look was fixed on her eyes""; ""he gave it a good looking at""; ""his camera does his looking for him""",look
38013,"[125, 126]","[127, 12, 20, 36, 56]",n,0.0,0.0,the act of searching visually,look
75215,"[125, 126]","[127, 12, 20, 36, 56]",n,0.0,0.375,"physical appearance; ""I don't like the looks of this place""",look
75255,"[125, 126]","[127, 12, 20, 36, 56]",n,0.0,0.0,"the feelings expressed on a person's face; ""a sad expression""; ""a look of triumph""; ""an angry face""",look
41219,"[0, 2]","[2, 0, 0, 0, 0]",n,0.0,0.0,female parent of an animal especially domestic livestock,dam
60891,"[0, 2]","[2, 0, 0, 0, 0]",n,0.0,0.0,a barrier constructed to contain the flow of water or to keep out the sea,dam
94030,"[101, 772]","[707, 18, 47, 26, 75]",n,0.0,0.0,the 5th letter of the Hebrew alphabet,he
84464,"[36, 3]","[15, 5, 8, 4, 7]",n,0.0,0.125,normal use of the faculty of vision,see
84955,"[36, 3]","[15, 5, 8, 4, 7]",n,0.0,0.0,perception by means of the eyes,see
109624,"[36, 3]","[15, 5, 8, 4, 7]",n,0.0,0.0,the seat within a bishop's diocese where his cathedral is located,see
57484,"[0, 2]","[2, 0, 0, 0, 0]",n,0.0,0.0,material used to provide a bed for animals,litter
65843,"[0, 2]","[2, 0, 0, 0, 0]",n,0.0,0.0,conveyance consisting of a chair or bed carried on two poles by bearers,litter
108250,"[0, 2]","[2, 0, 0, 0, 0]",n,0.0,0.0,the offspring at one birth of a multiparous mammal,litter
82554,"[78, 201]","[188, 9, 19, 18, 45]",n,0.0,0.0,"a widely distributed system consisting of all the cells able to ingest bacteria or colloidal particles etc, except for certain white blood cells",re
94246,"[78, 201]","[188, 9, 19, 18, 45]",n,0.0,0.0,the syllable naming the second (supertonic) note of any major scale in solmization,re
116748,"[78, 201]","[188, 9, 19, 18, 45]",n,0.0,0.0,ancient Egyptian sun god with the head of a hawk; a universal creator; he merged with the god Amen as Amen-Ra to become the king of the gods,re
89600,"[120, 265]","[285, 16, 24, 12, 48]",n,0.125,0.0,"a Spanish courtesy title or form of address for men that is prefixed to the forename; ""Don Roberto""",don
114803,"[120, 265]","[285, 16, 24, 12, 48]",n,0.0,0.0,a European river in southwestern Russia; flows into the Sea of Azov,don
116705,"[120, 265]","[285, 16, 24, 12, 48]",n,0.0,0.0,Celtic goddess; mother of Gwydion and Arianrhod; corresponds to Irish Danu,don
121514,"[120, 265]","[285, 16, 24, 12, 48]",n,0.125,0.0,a Spanish gentleman or nobleman,don
121516,"[120, 265]","[285, 16, 24, 12, 48]",n,0.0,0.0,the head of an organized crime family,don
30929,"[269, 254]","[336, 18, 23, 43, 103]",n,0.0,0.0,"(baseball) a failure by a batter or runner to reach a base safely in baseball; ""you only get 3 outs per inning""",out
32556,"[269, 254]","[336, 18, 23, 43, 103]",n,0.0,0.125,"a journey taken for pleasure; ""many summer excursions to the shore""; ""it was merely a pleasure trip""; ""after cautious sashays into the field""",out
36359,"[6, 8]","[12, 1, 0, 0, 1]",n,0.125,0.75,belligerence aroused by a real or supposed wrong (personified as one of the deadly sins),anger
100386,"[6, 8]","[12, 1, 0, 0, 1]",n,0.375,0.0,a strong emotion; a feeling that is oriented toward some real or supposed grievance,anger
93988,"[710, 458]","[697, 64, 73, 52, 282]",n,0.0,0.0,the 21st letter of the Roman alphabet,u
113067,"[710, 458]","[697, 64, 73, 52, 282]",n,0.0,0.0,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776,u
71509,"[0, 2]","[2, 0, 0, 0, 0]",n,0.0,0.0,a mechanical device for joining two pieces of paper or film or magnetic tape,splicer
36944,"[6, 4]","[2, 0, 0, 3, 5]",n,0.0,0.0,the act of treating something to make it repel water,seal
49045,"[6, 4]","[2, 0, 0, 3, 5]",n,0.0,0.0,any of numerous marine mammals that come on shore to breed; chiefly of cold regions,seal
70387,"[6, 4]","[2, 0, 0, 3, 5]",n,0.0,0.0,a device incised to make an impression; used to secure a closing or to authenticate documents,seal
70388,"[6, 4]","[2, 0, 0, 3, 5]",n,0.0,0.0,fastener that provides a tight and perfect closure,seal
70389,"[6, 4]","[2, 0, 0, 3, 5]",n,0.0,0.0,a finishing coat applied to exclude moisture,seal
70394,"[6, 4]","[2, 0, 0, 3, 5]",n,0.0,0.0,fastener consisting of a resinous composition that is plastic when warm; used for sealing documents and parcels and letters,seal
92818,"[6, 4]","[2, 0, 0, 3, 5]",n,0.5,0.0,an indication of approved or superior status,seal
94125,"[6, 4]","[2, 0, 0, 3, 5]",n,0.0,0.0,"a stamp affixed to a document (as to attest to its authenticity or to seal it); ""the warrant bore the sheriff's seal""",seal
106091,"[2455, 1402]","[2015, 178, 271, 436, 957]",n,0.0,0.0,an agency in the Department of Justice that enforces laws and regulations for the admission of foreign-born persons to the United States,in
113334,"[2455, 1402]","[2015, 178, 271, 436, 957]",n,0.0,0.0,a state in midwestern United States,in
36111,"[7, 96]","[91, 2, 4, 2, 4]",n,0.0,0.75,"noisy and unrestrained mischief; ""raising blazes""",hell
40723,"[7, 96]","[91, 2, 4, 2, 4]",n,0.0,0.25,"violent and excited activity; ""they began to fight like sin""",hell
84197,"[7, 96]","[91, 2, 4, 2, 4]",n,0.0,0.0,"(religion) the world of the dead; ""No one goes to Hades with all his immense wealth""-Theognis",hell
84204,"[7, 96]","[91, 2, 4, 2, 4]",n,0.0,0.5,"(Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment; ""Hurl'd headlong...To bottomless perdition, there to dwell""- John Milton; ""a demon from the depths of the pit""; ""Hell is paved with good intentions""-Dr. Johnson",hell
98347,"[7, 96]","[91, 2, 4, 2, 4]",n,0.0,0.625,"a cause of difficulty and suffering; ""war is hell""; ""go to blazes""",hell
109583,"[7, 96]","[91, 2, 4, 2, 4]",n,0.0,0.375,"any place of pain and turmoil; ""the hell of battle""; ""the inferno of the engine room""; ""when you're alone Christmas is the pits"";",hell
2128,"[109, 171]","[241, 12, 8, 5, 14]",a,0.25,0.75,"(superlative of `bad') most wanting in quality or value or condition; ""the worst player on the team""; ""the worst weather of the year""",bad
2139,"[109, 171]","[241, 12, 8, 5, 14]",a,0.0,0.75,"(comparative of `bad') inferior to another in quality or condition or desirability; ""this road is worse than the first one we took""; ""the road is in worse shape than it was""; ""she was accused of worse things than cheating and lying""",bad
2145,"[109, 171]","[241, 12, 8, 5, 14]",a,0.556,0.444,"changed for the worse in health or fitness; ""I feel worse today""; ""her cold is worse""",bad
4775,"[109, 171]","[241, 12, 8, 5, 14]",a,0.0,0.75,"feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad'); ""my throat feels bad""; ""she felt bad all over""; ""he was feeling tough after a restless night""",bad
10168,"[109, 171]","[241, 12, 8, 5, 14]",a,0.0,0.75,"(of foodstuffs) not in an edible or usable condition; ""bad meat""; ""a refrigerator full of spoilt food""",bad
10397,"[109, 171]","[241, 12, 8, 5, 14]",a,0.0,0.75,"not working properly; ""a bad telephone connection""; ""a defective appliance""",bad
10609,"[109, 171]","[241, 12, 8, 5, 14]",a,0.0,0.75,"reproduced fraudulently; ""like a bad penny...""; ""a forged twenty dollar bill""",bad
10696,"[109, 171]","[241, 12, 8, 5, 14]",a,0.0,0.625,"having undesirable or negative qualities; ""a bad report card""; ""his sloppy appearance made a bad impression""; ""a bad little boy""; ""clothes in bad shape""; ""a bad cut""; ""bad luck""; ""the news was very bad""; ""the reviews were bad""; ""the pay is bad""; ""it was a bad light for reading""; ""the movie was a bad choice""",bad
